TID	Name	RA	Dec
101	V* V1938 Cyg                       	323.1565193	39.66817148
102	IRAS 21310+3852                    	323.2527741	39.0881722
103	V* V2253 Cyg                       	323.2092994	39.36889335
104	BD+38 4585                         	325.7357461	39.58563148
105	NSV 25598                          	321.4824265	40.29583173
106	EQ 2130+3838                       	323.5	39.0833
107	HD 206749                          	325.7769614	41.15497172
108	V* V652 Cyg                        	325.708725	41.99197243
109	V* V647 Cyg                        	325.2608602	41.81673927
110	V* V1940 Cyg                       	326.4220312	40.29646641
111	V* V668 Cyg                        	327.4869078	40.94226543
112	V* V664 Cyg                        	327.1406074	40.97675895
113	V* V663 Cyg                        	327.1313178	42.09211371
114	V* V661 Cyg                        	327.04393	41.39710682
115	V* V660 Cyg                        	327.0477688	41.04466536
116	V* V2210 Cyg                       	327.3735756	41.62529128
117	TYC 3191-576-1                     	324.7074415	41.70276916
118	V* V640 Cyg                        	324.8200491	41.22554605
119	BD+41 4248                         	325.9777481	42.10120464
120	BC 32                              	325.7450543	41.93133308
121	NSV 13813                          	324.4208	41.755
122	V* V2207 Cyg                       	324.7367787	41.71991428
123	BD+42 4234                         	328.0274092	42.74056757
124	V* BI Lac                          	330.2042831	42.76089005
125	V* V670 Cyg                        	327.5795336	42.77260976
126	V* GT Cyg                          	327.6817446	42.90314899
127	V* CS Lac                          	329.9280299	42.57101932
128	V* V371 Lac                        	337.6846489	47.29942134
129	V* V1915 Cyg                       	329.3606092	42.97182716
130	V* V1917 Cyg                       	329.3789483	43.34905533
131	V* V1941 Cyg                       	328.9914764	43.04737539
132	V* V351 Lac                        	330.200646	42.51198794
133	V* ET Lac                          	329.7762109	41.0655516
134	V* DL Lac                          	329.6548513	41.77352852
135	V* V1096 Cyg                       	328.9674459	41.59629888
136	IRAS 21515+4150                    	328.3750446	42.07810629
137	IRAS 22035+4112                    	331.4185605	41.46074019
138	HIP 108776                         	330.5243287	42.3796677
139	V* V658 Cyg                        	326.9184335	42.72878459
140	KPD 2154+4048                      	329.0760303	41.04591363
141	SN 2004gf                          	329.46829	42.31606
142	NAME BL Lac                        	330.6803807	42.27777178
143	V* V460 Lac                        	330.6157475	42.30083566
144	HD 210208                          	331.954054	42.95325416
145	V* BK Lac                          	330.5821658	43.57893353
146	V* GN Lac                          	331.7145491	43.38248282
147	V* EL Lac                          	332.2238822	42.27249086
148	V* BO Lac                          	333.7363139	42.34558754
149	V* V369 Lac                        	333.8259767	44.09736
150	V* V381 Lac                        	333.9953244	42.37958558
151	IRAS 22069+4305                    	332.254504	43.33154551
152	IRAS 22113+4210                    	333.360822	42.41878375
153	IRAS 22010+4229                    	330.7735215	42.73539941
154	BD+41 4360                         	330.810699	42.56640447
155	V* V352 Lac                        	330.2984649	43.12560974
156	V* BS Lac                          	334.905314	44.28419927
157	HD 211405                          	333.9525065	43.90075714
158	Case 749                           	334.6599328	43.77902934
159	V* V367 Lac                        	334.6683572	43.74298161
160	V* V448 Lac                        	336.1309518	43.71971533
161	[D75] 150                          	334.0809647	44.28007036
162	V* UW Lac                          	335.1657537	42.40799162
163	V* RY Lac                          	333.0647612	43.83442633
164	V* RS Lac                          	333.2188359	43.75021561
165	V* V456 Lac                        	333.4581512	43.91071739
166	SN 2001iq                          	336.29342	42.71783
167	V* GU Lac                          	338.6465148	45.07083421
168	V* FZ Lac                          	338.7197337	45.08589477
169	V* FY Lac                          	338.147946	45.52952067
170	IRC +40509                         	336.7157934	44.75331015
171	IRAS 22322+4412                    	338.5997285	44.46873428
172	IRAS 22339+4332                    	339.0222426	43.80185373
173	IRAS 22340+4303                    	339.0678042	43.3268913
174	GSC 03212-00933                    	337.0544128	44.46455679
175	IRAS 22213+4433                    	335.8623829	44.81063208
176	V* V430 Lac                        	336.7099102	44.68697593
177	V* V433 Lac                        	338.6278629	44.27646177
178	HD 215325                          	340.9012962	44.75054118
179	HD 215566                          	341.3520057	44.75243266
180	HD 215664                          	341.5425908	44.54605396
181	V* CI Lac                          	341.3597775	45.36089047
182	HD 216108                          	342.3681321	43.84353301
183	V* ST Lac                          	340.8225425	43.6747436
184	V* V374 Lac                        	341.02146	43.75906
185	IRAS 22409+4338                    	340.7958607	43.91716154
186	V* EV Lac                          	341.7072132	44.33399228
187	HD 214261                          	339.0699625	45.44611793
188	HD 214608                          	339.6977978	44.31389772
189	V* BC Lac                          	339.2498272	45.032114
190	V* V419 Lac                        	340.4238771	44.00165628
191	V* CE Lac                          	340.9369932	43.43341676
192	V* V358 Lac                        	341.9430873	43.73295239
193	NSV 14286                          	340.7502254	44.58861212
194	AN 198.1940                        	340.05	46.0333
195	V* BO And                          	344.6583	45.5311
196	IRAS 22536+4520                    	343.9759917	45.60319063
197	V* VY Lac                          	342.4963777	45.0044418
198	IRAS 22457+4543                    	342.0006944	45.99937773
199	V* V458 Lac                        	342.2327849	45.75228294
200	NSV 25986                          	344.8195354	45.53309451
201	V* V379 And                        	346.6373393	46.92361355
202	V* BC And                          	345.2211422	46.51058976
203	V* VY And                          	345.4561063	45.88586374
204	IRAS 23002+4633                    	345.6380789	46.83011365
205	NSV 14439                          	347.3544077	46.89004529
206	V* EU And                          	349.9953396	47.24293788
207	V* AO And                          	349.4983631	46.75342817
208	BD+44 4374                         	349.655514	45.42541182
209	BD+44 4381                         	349.9391967	44.82491794
210	V* EV And                          	350.8091594	45.41638527
211	V* ET And                          	349.4833799	45.48892213
212	BD+44 4362                         	348.9387127	45.1343888
213	V* TT And                          	348.3454267	46.14752201
214	V* V462 And                        	349.8856571	45.92554695
215	SV* WR 149                         	350.025	46.75
216	SV* P 5735                         	349.8	46.7667
217	V* KQ And                          	352.6812451	46.15303399
218	V* V390 And                        	353.2353405	46.1236812
219	V* V339 And                        	353.5319539	46.33396094
220	V* V662 And                        	352.1145754	45.37785585
221	V* AL And                          	351.6773761	45.24909087
222	V* V338 And                        	351.4237924	45.70129036
223	V* LO And                          	351.7778556	45.55611624
224	TYC 3637-1152-1                    	352.655223	46.40118895
225	V* V464 And                        	351.0075689	46.87013639
226	V* AS And                          	354.7574579	47.24683829
227	HD 222555                          	355.334315	46.86005277
228	V* KS And                          	356.2718646	46.92517376
229	HD 223229                          	356.8877058	46.8325605
230	HD 222900                          	356.1339274	46.38015795
231	V* WY And                          	355.3737013	47.59550773
232	V* WW And                          	356.2231122	45.68651302
233	V* GG And                          	354.3325813	47.10783323
234	HD 222143                          	354.4936991	46.19943394
235	* lam And                          	354.3910109	46.45814944
236	HD 222641                          	355.5611113	44.99171445
237	V* V396 And                        	357.8893322	47.48776843
238	V* PV And                          	358.9080916	46.35829321
239	BD+45 4378                         	359.6812007	46.72909368
240	HD 224559                          	359.6934963	46.41317853
241	V* AW And                          	358.9010804	45.34328383
242	V* TZ And                          	357.7158071	47.50790621
243	V* GL And                          	358.7404903	45.39348883
244	V* GK And                          	358.446666	45.57939041
245	V* V412 And                        	358.4124969	45.6228544
246	SN 1998cu                          	359.80396	46.8755
247	V* AP And                          	357.3779558	45.78924185
248	NSV 14729                          	357.8955291	45.52401819
249	NSV 26152                          	357.57033	46.98942
250	BD+45 4361                         	358.9	46.75
251	AN 510.1934                        	358.675	46.28
252	AN 511.1934                        	358.8292	46.3317
253	V* V465 And                        	358.3161437	46.88504057
254	V* V342 And                        	2.5133037	46.3903136
255	V* CG And                          	0.181810826	45.25333395
256	BD+46 30                           	3.6583	46.8817
257	V* X And                           	4.039967077	47.01235424
258	V* BB And                          	4.433138587	45.14779682
259	V* V456 And                        	3.469370964	45.44270425
260	V* V352 And                        	7.296432227	44.99505727
261	* pi. Cas                          	10.86695345	47.02454904
262	V* EF And                          	9.932785388	46.55569299
263	HD 4134                            	11.04693303	46.23555807
264	V* FG And                          	11.04983724	45.06042858
265	V* BZ And                          	9.407268011	45.60425375
266	[TC96] 4                           	10.7396	47.1936
267	V* LZ Cas                          	9.346581881	46.76853336
268	V* V403 And                        	9.720579396	45.56380454
269	SN 2001dz                          	11.17979	45.41956
270	AN 392.1934                        	11.625	46.2
271	V* V457 And                        	11.42584292	46.19940372
272	HD 5006                            	13.158355	45.13339875
273	V* GO And                          	12.5761068	45.0022622
274	V* V415 And                        	12.68036204	46.50848642
275	V* HK And                          	11.63299726	45.09627756
276	2MASS J00540924+4621486            	13.53850506	46.36349518
277	IRC +50024                         	15.80307671	45.86843356
278	V* EI And                          	16.85984326	45.60942684
279	V* V416 And                        	17.6267963	45.10321518
280	HD 6201                            	15.92222705	44.06638197
281	V* HM And                          	16.22135605	45.02709619
282	V* IY And                          	15.71810321	45.18970074
283	V* DQ And                          	14.89364078	45.406722
284	V* EL And                          	21.61643333	44.93696977
285	V* CD And                          	21.61816533	44.35696038
286	V* CH And                          	24.04404047	44.87489321
287	V* EN And                          	22.17558435	43.53833195
288	V* HN And                          	21.07781777	43.14211925
289	IRAS 01259+4251                    	22.23051649	43.11721206
290	V* EP And                          	25.62224225	44.76179322
291	IRAS 01337+4236                    	24.16964615	42.85502803
292	V* V542 And                        	25.1199133	42.2002483
293	V* CI And                          	28.78455733	43.7656921
294	V* V434 And                        	28.33657822	44.12810942
295	SV* SVS 165                        	29.08374715	42.28664137
296	V* V546 And                        	27.80235729	43.81880887
297	IRAS 01592+4103                    	30.57685334	41.30146993
298	1RXS J020915.0+420223              	32.3129	42.0397
299	V* XZ And                          	29.21468447	42.10060592
300	NSV 670                            	29.14585216	41.39631506
301	V* V450 And                        	33.22912612	40.66839508
302	HD 13531                           	33.30556212	40.50758828
303	V* BX And                          	32.26425524	40.79421261
304	SN 1961C                           	33.85475	41.11381
305	V* KV And                          	34.30754	40.69189
306	V* LV And                          	34.86000019	41.7657381
307	BD+40 430                          	31.17951736	40.70534969
308	V* AH And                          	31.47744903	40.72404691
309	V* AV And                          	32.86882296	40.21605464
310	SN 2004eu                          	35.14525	41.57181
311	V* V572 And                        	35.56833	41.38331
312	V* V568 And                        	33.27261979	40.82531807
313	V* DU And                          	37.63068764	40.84262954
314	V* LZ And                          	35.65999166	40.53375238
315	V* MR And                          	36.36588784	40.95714425
316	V* MV And                          	37.54673799	40.88376416
317	BD+39 539                          	36.1701359	40.13974388
318	V* MO And                          	35.97361526	39.98410203
319	V* MS And                          	36.44541265	39.97922245
320	V* MT And                          	36.77017374	40.05780257
321	V* MU And                          	37.36022376	39.5289993
322	V* MW And                          	37.87071417	39.68861112
323	V* PQ And                          	37.37319788	40.04439354
324	SN 1996bz                          	37.85054	39.73092
325	CRTS J022330.7+400449              	35.87818216	40.08039439
326	V* LX And                          	34.93370824	40.45620388
327	V* MP And                          	36.05717862	41.32963542
328	[KMW82] 5                          	35.39161944	40.66855107
329	GD 25                              	34.06813213	39.85705901
330	IRAS 02216+3901                    	36.20072142	39.26256588
331	[KMW82] 4                          	35.3792	39.3833
332	[KMW82] 15                         	36.3575	39.04867
333	SN 1962R                           	35.3754	39.3806
334	SN 2002gx                          	37.93621	40.27764
335	HD 16496                           	40.00804181	39.83471662
336	HD 16209                           	39.30779797	38.97655846
337	V* UY And                          	39.59910649	39.16942598
338	V* V560 Per                        	40.41334611	39.53792016
339	HD 16834                           	40.81128643	39.36622092
340	HD 16760B                          	40.58729124	38.62254244
341	SN 1996bs                          	41.19292	39.49069
342	V* V377 And                        	39.07871919	40.20483956
343	SN 1973P                           	37.8958	39.3883
344	[KMW82] 25                         	38.0833	39.6783
345	V* GU And                          	38.63109385	40.06839524
346	SN 1966M                           	39.275	38.1483
347	SN 1999gp                          	37.91312	39.38119
348	BD+38 526                          	39.72268288	38.9858144
349	SN 2003hc                          	37.92517	39.36819
350	SN 1985U                           	36.42483	39.58644
351	* 16 Per                           	42.64608245	38.31864112
352	* 20 Per                           	43.42755351	38.33748699
353	V* IN Per                          	42.68276762	38.56394588
354	V* V448 Per                        	43.01279691	38.47931774
355	V* V442 Per                        	41.23966876	38.25854919
356	BD+36 587                          	43.25560087	37.50590533
357	BD+36 590                          	43.55898586	37.37742803
358	V* PY Per                          	42.50061528	37.65616594
359	V* PV Per                          	40.72251439	38.06758306
360	V* LS Per                          	44.28664051	37.89457715
361	NSV 932                            	42.15	38.0333
362	SN 1963L                           	41.97308	37.53131
363	V* V483 Per                        	42.89366882	37.83653273
364	V* AI Per                          	42.2420342	37.7410266
365	V* V443 Per                        	41.67615007	37.29701337
366	SN 1961V                           	40.90175	37.34544
367	SN 1969L                           	40.9375	37.3117
368	NGC 1058                           	40.87510302	37.34133548
369	NSV 923                            	41.95152592	36.96200911
370	V* V372 Per                        	44.16525	37.13986
371	V* V370 Per                        	43.60342029	36.66661776
372	HD 18900                           	45.89851943	36.44200498
373	V* QS Per                          	46.25593504	36.41242754
374	V* V453 Per                        	46.53023852	36.66809961
375	DO 9709                            	46.14262497	35.86172283
376	V* PZ Per                          	43.10746976	36.69161808
377	V* V875 Per                        	43.07331679	36.2800607
378	SV* SVS 1985                       	45.08042479	36.80492636
379	SN 2003hw                          	45.45842	35.74344
380	SN 2005ek                          	46.454	36.76961
381	V* V1792 Cyg                       	312.8789162	37.98948967
382	V* V1056 Cyg                       	312.627292	37.06955079
383	V* DR Cyg                          	310.9208559	38.1656209
384	EGGR 261                           	312.2779158	37.47056995
385	IRAS 20409+3722                    	310.724544	37.56127311
386	IRAS 20491+3738                    	312.7815627	37.83587325
387	[MS84] 17                          	311.3585259	37.75910069
388	GSC 03166-01801                    	312.1053134	37.75874297
389	V* V1861 Cyg                       	312.2727729	37.45825627
390	V* V1863 Cyg                       	312.4101473	37.21333989
391	IRC +40454                         	312.5207448	37.49993079
392	V* V2197 Cyg                       	312.5680278	37.9459085
393	V* V1868 Cyg                       	312.8097495	36.89224056
394	IRAS 20496+3645                    	312.8904	36.9508
395	V* V1878 Cyg                       	313.2521094	38.18277823
396	V* V1879 Cyg                       	313.4586575	37.25939992
397	V* V1882 Cyg                       	313.8316602	37.78047611
398	V* FF Cyg                          	309.715443	37.88978242
399	V* LM Cyg                          	310.5213856	37.28656451
400	[MS84] 12                          	311.0629	37.0922
401	GSC 02699-01426                    	311.4631288	36.99606652
402	Case 641                           	311.5295237	36.94816614
403	V* V1854 Cyg                       	312.0590899	36.87688632
404	[MS84] 44                          	312.1432182	36.74892208
405	NSV 25407                          	314.33946	37.92203
406	IRC +40460                         	315.4909098	40.44286617
407	BD+39 4385                         	314.4338951	40.11652333
408	V* V1221 Cyg                       	315.2617427	39.54703243
409	V* V830 Cyg                        	314.364793	39.40726068
410	V* VX Cyg                          	314.3367911	40.17750236
411	V* V2145 Cyg                       	315.7085151	38.5706853
412	V* V1228 Cyg                       	317.2388085	39.29200256
413	V* V833 Cyg                        	316.0971105	39.0001281
414	V* VY Cyg                          	316.0693189	39.97225117
415	EM* VES 316                        	316.596084	39.88563188
416	IRAS 20583+3928                    	315.0593161	39.67310854
417	IRAS 20587+3838                    	315.1741098	38.83348776
418	NSV 13523                          	316.3125	38.62
419	NSV 25426                          	315.15892	38.64219
420	V* V2050 Cyg                       	313.85676	39.39557106
421	BD+40 883                          	315.0224542	40.07019
422	V* WZ Cyg                          	313.278571	38.827769
423	NSV 25400                          	313.7829872	38.62889872
424	1RXS J205523.3+383232              	313.8475	38.5422
425	V* V2480 Cyg                       	316.0245459	39.54987333
426	Mis V0362                          	315.2121694	40.51173159
427	NSV 13547                          	316.7398133	39.20580397
428	Mis V0105                          	314.2638315	39.28094808
429	BD+40 4430                         	317.638804	41.17830941
430	V* V2486 Cyg                       	319.2476504	40.33241947
431	V* V1234 Cyg                       	318.2064819	41.39118248
432	V* V1223 Cyg                       	316.1786731	41.21254943
433	V* V1067 Cyg                       	319.7010358	41.00002934
434	V* V572 Cyg                        	317.2529573	41.20049583
435	V* V533 Cyg                        	320.2635064	40.64059374
436	V* V1801 Cyg                       	316.1890971	40.82726928
437	V* V1802 Cyg                       	316.5569769	40.54180575
438	V* V1806 Cyg                       	317.2036083	40.37521726
439	HD 201937                          	317.9032804	40.03663851
440	V* V529 Cyg                        	318.2477013	40.14364689
441	V* V1983 Cyg                       	318.2964722	40.19033924
442	V* V2482 Cyg                       	316.9147783	40.66708148
443	V* V1798 Cyg                       	315.37083	40.68056
444	HD 201212                          	316.7136445	40.31963095
445	V* V1222 Cyg                       	315.7578525	40.4146438
446	IRC +40472                         	317.5802679	39.67478167
447	V* V1665 Cyg                       	319.8357989	40.96541611
448	V* V1664 Cyg                       	317.7890721	39.55637428
449	V* V2781 Cyg                       	317.9455243	40.58737296
450	EM* VES 322                        	318.1994342	41.35753712
451	CGCS 5196                          	318.3962025	41.4845695
452	V* V528 Cyg                        	317.9031469	41.86098068
453	BD+41 4064                         	319.0400314	42.54092786
454	V* V1068 Cyg                       	320.1380163	42.2774884
455	V* V604 Cyg                        	320.9566273	42.80128895
456	V* V603 Cyg                        	320.9358556	42.48662133
457	V* V593 Cyg                        	319.7911738	42.63830886
458	V* V535 Cyg                        	320.3468188	42.23707851
459	V* YY Cyg                          	320.6196156	42.39624107
460	V* V1071 Cyg                       	320.7101763	42.35605085
461	Case 645                           	319.0917735	42.28881282
462	V* V1337 Cyg                       	321.1181529	42.62607318
463	V* V1075 Cyg                       	322.32833	42.31992
464	V* V2152 Cyg                       	320.3730792	41.89943299
465	V* V602 Cyg                        	320.9000345	41.55318595
466	V* V596 Cyg                        	320.4067706	41.6814042
467	V* BH Cyg                          	319.7401377	41.8936228
468	V* V1808 Cyg                       	319.1370112	41.91038115
469	V* V611 Cyg                        	322.3426129	41.93791781
470	V* V607 Cyg                        	321.7176513	41.65091282
471	V* V1074 Cyg                       	321.5762377	42.13377268
472	V* V1725 Cyg                       	322.4826898	41.76225492
473	V* V1933 Cyg                       	321.225157	40.7107272
474	IRAS 21212+4246                    	320.7996352	42.99088195
475	IRAS 21271+4107                    	322.2823351	41.34411996
476	IRAS 21290+4110                    	322.754672	41.40211522
477	V* V2069 Cyg                       	320.9367562	42.30045394
478	V* V1722 Cyg                       	320.5380999	42.14203003
479	HD 203731                          	320.7131242	40.69724218
480	V* V1069 Cyg                       	320.2931644	40.91592994
481	V* V386 Cyg                        	318.6684748	41.71634561
482	V* V1070 Cyg                       	320.7025239	40.93254663
483	V* V2065 Cyg                       	318.3762538	41.90677459
484	NSV 13636                          	319.2257901	41.56556957
485	V* V1562 Cyg                       	321.1417316	42.99977021
486	V* V597 Cyg                        	320.5063691	42.8474084
487	V* V1565 Cyg                       	321.8844755	42.69182572
488	NSV 13651                          	319.5451086	41.32998538
489	NSV 13744                          	322.3083	42.3867
490	V* V531 Cyg                        	319.628819	41.13283844
491	* 75 Cyg                           	325.0462831	43.2738378
492	V* V1248 Cyg                       	324.1012522	43.47879467
493	V* V1246 Cyg                       	321.8491913	43.49655601
494	SS 452                             	324.265266	43.35477299
495	V* V1080 Cyg                       	323.6134581	42.99218656
496	V* V732 Cyg                        	321.9963969	43.58899408
497	V* V705 Cyg                        	323.7358368	43.02461574
498	V* V639 Cyg                        	324.7405386	42.59368058
499	V* V638 Cyg                        	324.7404705	42.34918097
500	V* V631 Cyg                        	323.785088	43.86147782
501	V* V629 Cyg                        	323.5633836	44.13268548
502	LEE 334                            	323.3105472	43.91991288
503	V* V613 Cyg                        	322.3821418	42.94895279
504	HD 206223                          	324.8671706	43.2779054
505	V* V636 Cyg                        	324.5622993	42.05050267
506	IRAS 21317+4309                    	323.4284129	43.3861381
507	NSV 25641                          	322.7080217	43.50410065
508	V* V2208 Cyg                       	324.919325	43.30560902
509	IRAS 21295+4209                    	322.8816805	42.38031137
510	V* V1567 Cyg                       	323.6736091	42.00954497
511	V* V1569 Cyg                       	324.9590992	42.25159375
512	V* V1573 Cyg                       	325.6167669	43.26597575
513	NSV 13722                          	321.8083	42.9617
514	V* V1566 Cyg                       	322.689333	43.53274766
515	V* Q Cyg                           	325.4330321	42.84139977
516	V* VZ Cyg                          	327.922673	43.13403833
517	V* V654 Cyg                        	325.9828545	44.77852794
518	V* V650 Cyg                        	325.513776	44.96241508
519	V* V646 Cyg                        	325.0867549	44.26670829
520	V* WY Cyg                          	327.17575	44.24951625
521	V* V657 Cyg                        	326.7433334	44.69130206
522	V* V676 Cyg                        	328.2463693	44.30533889
523	V* V669 Cyg                        	327.4974914	45.06261102
524	V* V672 Cyg                        	327.8392639	44.66394579
525	V* V1093 Cyg                       	328.371938	44.08474383
526	V* V677 Cyg                        	328.3235463	44.05635818
527	V* V673 Cyg                        	327.9073311	43.16629765
528	V* V666 Cyg                        	327.3579617	43.3735815
529	V* V665 Cyg                        	327.3165435	43.06012031
530	V* V1091 Cyg                       	326.4978644	44.41658701
531	IRAS 21443+4329                    	326.5906308	43.73155492
532	IRAS 21540+4326                    	329.0051323	43.67721666
533	NOVA Cyg 1978                      	325.64675	44.03192
534	HD 207739                          	327.4951732	43.9657871
535	NSV 13904                          	327.9301046	43.15653996
536	NSV 13917                          	328.163696	43.652225
537	NSV 13922                          	328.2423362	44.01528581
538	V* V1249 Cyg                       	324.4010395	44.46209315
539	HD 205939                          	324.3661424	44.69654799
540	Antipin V66                        	326.015746	44.650567
541	V* V1571 Cyg                       	325.652285	44.94331893
542	NSV 13863                          	326.0137	45.1133
543	V* SS Cyg                          	325.6783477	43.58607327
544	SN 2004ca                          	325.88683	43.6925
545	V* V396 Lac                        	331.2940858	44.06460386
546	V* RT Lac                          	330.3780866	43.89045561
547	BD+45 3738                         	329.2380697	45.97573157
548	HD 209596                          	330.8659147	45.56860632
549	HD 209945                          	331.5081348	45.0143443
550	V* V443 Lac                        	330.5224573	44.34316684
551	V* V1942 Cyg                       	330.7360862	44.64986136
552	V* V412 Cyg                        	328.6016883	45.36227284
553	V* MU Cyg                          	329.8062872	44.70014531
554	V* MS Cyg                          	329.7824147	45.99278741
555	V* MP Cyg                          	329.6027846	45.87297004
556	V* MO Cyg                          	329.4897506	45.54256635
557	V* MN Cyg                          	329.5064589	44.44402493
558	V* GW Cyg                          	329.7821897	46.14346828
559	V* UZ Cyg                          	329.8097096	44.35965367
560	V* CM Lac                          	330.0185427	44.55214825
561	V* V1100 Cyg                       	329.6521021	45.31192173
562	V* V1099 Cyg                       	329.4354037	45.9065066
563	V* V1097 Cyg                       	329.245013	45.36482808
564	V* V1916 Cyg                       	329.3746	44.6967
565	V* FU Lac                          	330.1114079	43.85544353
566	IRAS 22042+4417                    	331.5722673	44.52687322
567	NSV 13989                          	329.7531424	44.73052967
568	V* V425 Lac                        	329.8495318	43.88925645
569	V* V2075 Cyg                       	328.8102441	44.41858456
570	V* V1094 Cyg                       	328.6239275	44.82056197
571	V* V679 Cyg                        	328.4060839	45.03349646
572	V* V453 Lac                        	329.3859384	44.1721159
573	V* V1761 Cyg                       	330.3878995	45.84779586
574	BC 310                             	329.9533907	44.31102641
575	BD+44 3974                         	328.3834422	45.45103225
576	V* BP Lac                          	333.8690717	44.75537915
