EID	aperture	FoV	pixel_scale	tracking accuracy (")	limiting magnitude (mag)	elevation limit (deg)	"mount type (german, fork, theodolite)"	camera_type_1	camera_type_2	Johnson B	Johnson V	Johnson R	SDSS u	SDSS g	SDSS r	SDSS i	SDSS z
110	3.972369361	163.9794407	1.952705767	0.460573838	16.24467185	34.15282559	theodolite	mono	cooled	y	y	y	y	y	n	y	y
111	5.393923756	562.2516971	1.184197587	0.478179364	15.97114629	32.75142843	german	mono	cooled	y	y	y	y	n	y	n	y
112	7.246144972	174.4515927	2.37938639	0.997779579	9.261628132	30.20986124	theodolite	mono	cooled	n	y	y	y	n	y	y	y
113	0.2798576	581.4519038	1.041923113	0.752698305	8.473911098	15.78822925	fork	mono	cooled	n	n	n	n	y	n	n	y
114	3.868165206	50.51537922	1.743736619	0.840726573	15.146313	31.63827928	fork	mono	cooled	n	y	y	y	y	y	y	y
115	0.645126654	537.9702666	2.734960061	0.674344264	13.84482293	27.39399765	german	colored	cooled	y	y	n	y	y	y	y	y
116	1.944782629	215.0897621	0.950082583	0.228662713	9.045146645	12.71271899	german	mono	cooled	y	y	y	y	n	y	y	y
117	7.637785644	193.8390459	2.361805876	0.303041348	19.75444604	21.28578655	fork	mono	cooled	y	y	y	n	y	y	y	y
118	8.704697059	133.8743312	1.449572886	0.775863348	9.145804993	24.45843929	fork	mono	cooled	y	y	y	y	y	n	y	y
119	8.837296728	569.147722	1.16908197	0.660081128	21.72313341	25.19778494	fork	mono	cooled	y	n	y	n	n	y	n	y
120	3.086345778	91.68346077	1.640462273	0.835488227	17.57331537	17.37710871	fork	mono	cooled	n	n	y	n	y	y	y	y
121	8.799943761	234.4123218	1.809971629	0.345019136	19.18038022	33.61501268	fork	mono	cooled	y	y	y	y	y	n	y	y
122	7.982521296	148.7588988	2.719242109	0.197330922	19.35338877	34.16315037	german	mono	cooled	n	y	n	n	n	y	n	y
123	5.210191333	118.9652082	2.820756393	0.665335872	20.10173593	17.60052281	german	mono	cooled	y	n	y	y	y	n	n	y
124	5.536297122	423.230997	1.524052282	0.749338621	17.63727415	23.45274855	fork	colored	cooled	y	n	y	y	y	y	y	y
125	3.888128548	118.4232587	0.696036871	0.621025861	16.09576992	29.53816874	fork	colored	cooled	y	n	n	n	y	y	y	y
126	4.728914712	414.5712797	0.460715569	0.256239527	16.81179437	26.32499061	theodolite	mono	cooled	y	n	y	n	y	y	y	y
127	2.678257809	111.5746724	2.774280626	0.930726907	15.17636067	32.98286493	german	mono	cooled	n	y	n	y	y	y	y	n
128	9.557108894	132.743106	0.426255044	0.546303823	14.57062966	23.73360244	fork	mono	cooled	y	n	y	y	y	y	y	y
129	7.91921932	60.83040679	0.422931968	0.128969794	19.50256858	27.08177967	theodolite	colored	cooled	y	y	y	y	y	n	y	n
130	3.316287221	28.72485013	1.381544709	0.404207016	16.40770519	20.50606728	theodolite	mono	cooled	y	y	y	n	y	y	y	y
131	7.836798053	572.1085521	2.241931893	0.452366673	22.78098883	32.44181264	theodolite	mono	cooled	y	y	y	y	y	y	y	y
132	2.907357275	526.5183218	0.757453576	0.970366383	20.01125477	34.84933449	german	mono	cooled	y	y	y	y	n	y	y	y
133	3.711774621	547.7838152	2.16162528	0.284955329	17.74468884	18.00211467	fork	mono	cooled	n	y	y	y	y	y	y	y
134	3.56205996	420.7836793	0.783368111	0.573013275	22.49342968	15.47859404	fork	mono	uncooled	y	y	y	y	n	y	n	y
135	5.486714175	573.353064	2.387681083	0.983330128	14.31852735	19.86558217	fork	colored	cooled	y	y	y	n	y	y	y	n
136	0.124797747	92.60105557	1.123790151	0.819130149	9.939417948	24.35656706	german	mono	uncooled	y	y	y	y	y	y	y	y
137	5.211947393	50.41662339	0.726260837	0.639230346	14.94384778	27.36216996	fork	colored	uncooled	y	y	n	y	y	y	y	n
138	9.704704337	26.08604409	1.511980034	0.236185825	10.99436786	20.76104744	fork	mono	cooled	y	y	n	y	y	y	y	y
139	7.932543178	404.169154	2.454640699	0.83744144	24.68540531	13.70103585	theodolite	mono	cooled	y	n	y	n	y	y	y	n
140	9.72760921	328.8430468	0.552858428	0.98282562	12.82117902	34.33520229	fork	colored	cooled	y	y	y	y	y	y	y	y
141	1.686100707	59.97729994	0.637062063	0.293204134	12.99883104	31.9271137	german	mono	uncooled	n	y	n	y	y	y	y	y
142	6.438805427	468.3587782	2.69628481	0.136552272	11.58035559	23.11429333	theodolite	mono	uncooled	y	y	y	y	y	y	y	y
143	8.40382949	344.2724758	0.591763965	0.394085407	8.745768619	28.19780031	fork	mono	uncooled	y	n	y	y	n	y	y	n
144	5.531259854	587.0876919	0.569382096	0.826549027	20.33569064	33.59636751	fork	mono	cooled	y	n	y	y	y	y	y	y
145	4.423224657	204.8336801	0.73065588	0.662529999	21.71166943	34.58224387	fork	mono	cooled	n	y	n	y	y	y	y	y
146	8.800127502	341.1161775	1.370044129	0.754141051	22.77858911	24.32583384	fork	mono	cooled	y	y	y	y	y	y	n	y
147	9.050924319	167.779691	2.303110203	0.661788918	10.33279883	23.14835553	theodolite	mono	cooled	y	y	y	n	y	n	y	y
148	4.796759431	296.2999524	1.375666343	0.788211518	15.93471843	16.02759216	fork	mono	cooled	y	y	y	y	y	y	y	y
149	4.709858939	299.0153045	0.775939276	0.768628507	11.03490632	16.01134863	theodolite	mono	cooled	y	y	y	y	y	y	y	y
150	4.754634555	264.7467553	0.16198505	0.541368369	18.96410692	30.55571607	fork	mono	cooled	n	y	y	y	y	y	y	y
151	7.542860274	371.6317252	2.229038074	0.623681749	8.61454939	33.96087561	fork	mono	cooled	y	y	y	y	y	y	y	y
152	9.752836793	149.8956687	1.797510534	0.135093754	11.32544847	28.21899868	fork	mono	cooled	n	n	y	y	y	y	y	y
153	1.660993276	62.71792356	2.212343825	0.391171483	22.51598773	18.50095481	fork	mono	cooled	y	y	y	y	y	n	n	y
154	4.383322777	489.6459564	0.925832002	0.342911633	19.1841549	18.22460303	german	mono	cooled	y	y	y	y	y	y	y	y
155	5.463186905	32.38356812	2.034241729	0.204097564	23.69786412	24.27604323	fork	mono	cooled	y	y	y	y	y	y	y	y
156	2.767159008	90.06939468	2.82384983	0.960363419	8.395339471	33.35558845	german	mono	cooled	y	y	y	y	y	n	y	n
157	5.176072828	475.8951596	0.278372033	0.975614109	21.23283466	13.88421082	german	mono	cooled	y	y	y	y	y	n	y	y
158	8.525134381	434.5108035	2.930700101	0.682296109	19.06374391	21.60096757	fork	mono	cooled	y	n	n	y	n	n	y	y
159	5.597031497	453.3364899	0.11702582	0.357520489	10.70873137	30.11380184	german	colored	cooled	y	n	y	y	y	y	y	n
160	6.103476588	229.4005802	2.321266165	0.280026555	17.2087249	33.07077932	theodolite	mono	cooled	y	y	y	y	y	y	y	y
161	8.152128452	501.1492482	2.439333388	0.996618719	16.27167729	16.65714866	theodolite	mono	cooled	y	y	y	y	y	y	y	n
162	5.005797754	196.8906591	1.271674861	0.934629864	17.26589663	15.35899347	fork	colored	cooled	y	y	y	y	y	y	n	y
163	7.650355915	219.8128084	0.717960332	0.201641033	13.29295502	23.55566603	fork	colored	cooled	y	y	y	y	y	n	y	n
164	4.247769435	320.4737827	2.432903357	0.231249578	22.0648523	28.73480907	fork	mono	cooled	y	y	y	y	y	y	y	y
165	4.617887752	33.78196982	1.550416439	0.321972186	11.20865526	32.00882925	german	colored	cooled	y	y	y	y	y	y	n	y
166	6.779074342	142.6709681	1.149026129	0.33627314	23.56511423	13.38654708	fork	colored	cooled	y	y	y	y	y	y	n	y
167	8.436703187	122.3209089	0.19253019	0.707265587	10.69730778	28.63687842	german	mono	cooled	y	n	y	y	y	y	n	y
168	3.932148375	206.6924337	1.709860522	0.345530741	8.972990511	26.42007487	fork	mono	cooled	n	y	y	n	y	y	y	y
169	2.055077188	288.6958979	2.595691162	0.29845059	18.92577967	30.48737925	fork	mono	cooled	y	y	y	y	y	y	y	y
170	0.599191991	542.376153	2.234048769	0.878583169	8.666743651	23.62726478	german	mono	cooled	y	n	y	y	y	y	n	y
171	3.927587959	111.0551512	1.316361801	0.842734485	15.17579002	15.46898513	fork	mono	cooled	y	n	y	y	y	y	y	y
172	4.480255603	341.1683088	2.117474317	0.107136401	17.25649383	23.89673047	german	colored	cooled	n	y	y	y	y	y	n	y
173	6.376852009	359.0190182	0.602903879	0.846505592	12.11165893	18.29246901	fork	mono	cooled	n	y	y	y	y	n	y	y
174	6.686518096	114.3530681	2.427092147	0.851337595	21.80037768	16.52960132	fork	colored	cooled	y	y	n	y	y	y	n	n
175	6.039544928	60.05040659	2.755965259	0.514838316	17.32563301	16.85567162	german	colored	uncooled	y	y	y	n	y	y	y	y
176	4.711303623	94.32860803	0.234133325	0.980071705	15.08345239	34.16344959	theodolite	colored	cooled	y	y	y	y	y	n	y	y
177	2.517639577	210.1016584	0.984343503	0.366052133	17.32289029	34.94058579	fork	mono	cooled	y	y	y	y	y	y	y	y
178	1.432519542	278.6285969	0.79300831	0.274323722	17.15920253	13.56121596	fork	colored	cooled	n	y	y	y	y	y	y	y
179	6.974805302	261.6922761	0.12380627	0.637047536	13.63439033	33.35446095	fork	mono	cooled	y	n	y	y	y	y	y	y
180	9.665566482	580.3415656	2.876994636	0.141911044	24.19763662	15.31864918	german	colored	cooled	y	y	y	y	y	n	y	y
181	8.392804414	43.50257953	2.024754063	0.804030455	16.89793315	23.22735904	theodolite	colored	cooled	y	y	y	y	y	n	y	y
182	7.447208066	495.2492985	2.260463615	0.797975375	18.51953669	30.97876258	fork	mono	cooled	y	y	y	y	y	y	y	n
183	2.998372353	282.8952916	1.193794734	0.156583685	9.528170302	23.05683751	german	colored	cooled	n	y	n	y	y	y	n	y
184	2.859489083	236.9918433	0.459856418	0.489265564	10.38744441	14.85299628	theodolite	mono	cooled	y	y	y	y	y	y	y	n
185	2.724865913	393.7320032	2.908551461	0.581278032	19.90834428	28.21953611	fork	colored	cooled	y	y	y	y	y	y	y	y
186	9.411120755	306.5398847	1.77890381	0.152180771	23.32404558	21.74518943	fork	mono	cooled	n	n	y	y	n	y	y	n
187	5.80803982	247.4569018	0.8647921	0.777970646	17.90580558	18.55621536	fork	mono	cooled	n	y	y	y	y	y	y	y
188	0.528719052	280.1408393	0.30818352	0.173877699	20.01691323	30.24601417	fork	mono	uncooled	n	y	y	y	y	y	n	n
189	9.27567134	1.648898395	2.689383915	0.301618408	23.84535209	32.165256	german	mono	cooled	y	n	y	y	y	y	y	n
190	2.025454658	416.3683154	0.849215579	0.109852272	20.84711986	34.71283321	fork	mono	uncooled	n	n	n	y	y	y	y	y
191	8.298488825	455.1962474	2.675142629	0.805689684	17.58678828	31.77195261	german	colored	cooled	y	y	y	y	y	y	n	y
192	5.432826622	381.5652368	2.855771114	0.367261433	8.863058421	13.67126524	fork	mono	cooled	y	y	y	y	y	y	y	y
193	0.212740432	52.55828217	1.370820015	0.631527623	15.05900986	19.48640971	fork	colored	cooled	n	y	y	y	n	y	y	y
194	8.445687976	357.9701473	0.610319632	0.967858763	21.0303248	33.29137977	fork	mono	cooled	n	y	y	y	y	n	y	y
195	1.03476677	367.419337	2.028487409	0.52834986	20.37159606	17.98775641	theodolite	mono	uncooled	n	y	y	y	n	y	n	y
196	3.903695802	168.1813718	0.266376238	0.577225444	17.068615	34.09425304	german	mono	cooled	y	y	y	y	y	y	y	n
197	2.199477713	210.3581757	2.751678992	0.643707739	22.9782626	15.79441209	theodolite	mono	cooled	y	y	y	y	y	n	y	n
198	9.149256687	232.3869848	1.59611902	0.363243474	18.30782838	23.81902003	german	colored	cooled	y	y	y	y	y	y	n	y
199	4.472238061	527.8656342	1.353199863	0.781171185	22.21537444	28.32387192	fork	colored	cooled	n	y	y	y	y	y	y	y
200	8.113560227	269.9286272	2.497920077	0.150298755	18.89246568	25.57450832	german	mono	cooled	n	y	y	y	y	y	y	n
201	6.020277805	206.9038349	1.405356044	0.249808146	21.01531225	33.21396871	fork	mono	cooled	y	y	y	y	n	y	y	y
202	6.889043136	453.3656154	2.193939054	0.835282439	23.94956712	21.22748945	german	mono	cooled	y	y	y	y	y	n	y	y
203	0.940374337	138.4478775	0.996115979	0.304332643	22.78663452	20.4874995	fork	colored	cooled	y	y	y	y	y	y	y	y
204	2.333565574	479.7679443	2.426012263	0.190201718	11.45993903	19.19170476	fork	mono	uncooled	y	y	y	y	y	y	y	y
205	9.978807364	351.8491607	2.810323159	0.29823286	17.51191159	32.76891689	german	mono	cooled	y	y	n	y	y	n	y	y
206	6.673877783	384.6458604	1.690847974	0.545549312	12.49504585	21.27065772	fork	mono	cooled	y	y	y	y	y	y	y	y
207	6.492871064	445.9725898	1.847944373	0.140525898	16.309296	28.45051677	german	colored	cooled	y	y	n	y	y	y	y	y
208	9.294234759	217.3902749	2.786401634	0.97997534	11.67521393	31.36640292	fork	colored	cooled	y	y	y	y	y	y	y	y
209	6.183185287	425.6805269	1.381487242	0.335841058	24.50597534	17.31048579	fork	mono	cooled	n	y	y	y	y	y	y	y
210	6.68275257	125.4548147	1.320824842	0.656709922	14.40875117	33.44899967	fork	mono	cooled	y	n	y	y	n	y	y	y
211	7.423513555	245.5993299	1.094478898	0.851176859	10.13815676	14.01383216	german	mono	cooled	y	y	y	y	n	n	y	y
212	2.798473435	246.5932871	1.8079964	0.712307854	21.48092602	23.21865558	fork	mono	cooled	y	y	y	n	y	y	y	y
213	4.887734566	222.1938074	0.94638365	0.801769745	18.9864954	14.13638589	german	mono	cooled	y	y	y	y	y	n	y	y
214	3.324554577	322.4210353	2.793524705	0.195984651	17.93044272	19.16469255	fork	colored	cooled	n	y	n	n	y	y	n	n
215	3.254113762	52.79126821	1.748515918	0.14750621	24.97157025	15.63098519	german	colored	cooled	y	y	y	y	n	y	y	y
216	7.147909917	320.8803123	1.503559984	0.794471685	18.04810954	24.48415121	german	mono	cooled	y	y	y	y	n	n	y	y
217	4.716136611	278.6100989	2.832113585	0.408383452	18.78974933	30.39461885	theodolite	mono	cooled	y	y	y	y	y	y	y	y
218	4.902780715	28.82237568	1.859012293	0.430177338	19.18164417	21.61860729	theodolite	mono	cooled	y	y	y	y	y	y	y	y
219	0.312807386	45.53014805	2.006399582	0.755043696	14.86727891	22.02736611	fork	mono	cooled	n	y	y	y	y	y	y	y
220	3.797564859	416.8288416	1.910423999	0.590068553	17.73379133	20.24178548	theodolite	colored	cooled	n	y	n	n	n	y	y	n
221	2.36454811	142.9309266	2.389179325	0.896671373	14.3106037	19.89648794	fork	mono	uncooled	y	y	y	y	y	y	y	y
222	5.972196674	332.4064694	1.235522929	0.100404979	19.87094914	17.11866951	german	mono	cooled	y	y	y	n	y	y	n	y
223	3.059673313	305.5459276	1.715574086	0.368343428	22.90009711	22.34143016	fork	colored	cooled	y	n	y	y	y	y	n	y
224	5.73450992	239.0839566	2.94257533	0.643432069	17.05029953	26.29926874	fork	mono	cooled	n	y	y	y	y	y	y	n
225	3.202272116	569.0408023	1.706888314	0.419460799	12.55840665	24.38434026	fork	mono	cooled	y	n	y	y	n	y	y	y
226	9.22341345	576.7756456	0.526425994	0.379881866	17.50081016	23.02704463	theodolite	mono	cooled	y	n	y	y	y	y	y	y
227	2.048095336	453.1371342	2.843532806	0.590741981	23.05496151	28.59380759	fork	colored	cooled	y	y	y	n	y	y	y	n
228	2.095236016	210.254312	1.441150915	0.698152059	13.96234269	32.14261368	fork	mono	cooled	y	y	y	y	y	y	n	y
229	3.056139066	220.945097	0.667780151	0.922638438	16.12751568	32.56102326	german	colored	cooled	y	n	y	y	y	y	n	y
230	7.548804089	406.9056058	1.160118687	0.37685067	8.684795051	24.91550134	theodolite	mono	cooled	y	n	y	y	y	y	y	y
231	0.396041759	490.7825011	1.324482468	0.479352483	14.2282936	19.24058967	german	mono	cooled	y	n	y	n	n	y	y	y
232	7.807580811	168.6874537	1.997010348	0.995587546	21.71432909	17.44909234	german	mono	cooled	y	y	n	y	y	y	y	y
233	9.332913137	502.5589387	0.692809147	0.54719376	12.35072633	24.25665052	fork	mono	cooled	y	y	y	y	y	y	y	y
234	1.467021017	460.6234918	0.345322672	0.456093851	14.67294643	31.44529875	theodolite	mono	cooled	y	y	n	y	y	n	y	y
235	1.886537655	566.6323275	1.045509665	0.829229497	22.35143817	12.50867426	fork	mono	cooled	y	y	y	y	n	y	y	y
236	1.006918839	158.9753586	0.662025515	0.281222635	19.99465739	21.37321688	fork	colored	uncooled	y	y	y	y	n	y	n	y
237	5.898958971	22.27417222	1.894489697	0.956541628	19.07131851	18.38843935	german	colored	cooled	y	n	y	n	y	y	y	y
238	1.496454182	242.5811242	1.464637777	0.260269403	11.49135894	25.97656683	fork	mono	cooled	y	y	y	y	y	y	y	y
239	1.512560816	307.8692656	0.543861748	0.722893558	17.14950782	29.12888652	fork	mono	cooled	y	n	y	y	y	y	y	y
