PhaveT_ID	PID	TID	Johnson_B	Johnson_V	Johnson_R	SDSS_u	SDSS_g	SDSS_r	SDSS_i	SDSS_z
126	1	2290	n	n	n	n	n	n	n	n
127	1	2498	n	n	n	n	n	n	n	n
128	1	2560	n	n	n	n	n	n	n	n
129	1	2618	n	n	n	n	n	n	n	n
130	1	2738	n	n	n	n	n	n	n	n
131	1	2749	n	n	n	n	n	n	n	n
132	1	2794	n	n	n	n	n	n	n	n
133	1	2796	n	n	n	n	n	n	n	n
134	1	2954	n	n	n	n	n	n	n	n
135	1	2963	n	n	n	n	n	n	n	n
136	1	3030	n	n	n	n	n	n	n	n
137	1	3133	n	n	n	n	n	n	n	n
138	1	3183	n	n	n	n	n	n	n	n
139	1	3230	n	n	n	n	n	n	n	n
140	1	3241	n	n	n	n	n	n	n	n
141	1	3258	n	n	n	n	n	n	n	n
142	1	3267	n	n	n	n	n	n	n	n
143	1	3509	n	n	n	n	n	n	n	n
144	1	3946	n	n	n	n	n	n	n	n
145	1	3971	n	n	n	n	n	n	n	n
146	1	3988	n	n	n	n	n	n	n	n
147	1	4023	n	n	n	n	n	n	n	n
148	1	4032	n	n	n	n	n	n	n	n
149	1	4268	n	n	n	n	n	n	n	n
150	1	4334	n	n	n	n	n	n	n	n
151	1	4356	n	n	n	n	n	n	n	n
152	1	4657	n	n	n	n	n	n	n	n
153	1	4727	n	n	n	n	n	n	n	n
154	1	4924	n	n	n	n	n	n	n	n
155	1	4983	n	n	n	n	n	n	n	n
156	1	5118	n	n	n	n	n	n	n	n
157	1	5183	n	n	n	n	n	n	n	n
158	1	5222	n	n	n	n	n	n	n	n
159	1	5400	n	n	n	n	n	n	n	n
160	1	5609	n	n	n	n	n	n	n	n
161	1	5692	n	n	n	n	n	n	n	n
162	1	5697	n	n	n	n	n	n	n	n
163	1	5745	n	n	n	n	n	n	n	n
164	1	5772	n	n	n	n	n	n	n	n
165	1	5799	n	n	n	n	n	n	n	n
166	1	6281	n	n	n	n	n	n	n	n
167	1	6328	n	n	n	n	n	n	n	n
168	1	6419	n	n	n	n	n	n	n	n
169	1	6507	n	n	n	n	n	n	n	n
170	1	6546	n	n	n	n	n	n	n	n
171	1	7055	n	n	n	n	n	n	n	n
172	1	7164	n	n	n	n	n	n	n	n
173	1	7535	n	n	n	n	n	n	n	n
174	1	7623	n	n	n	n	n	n	n	n
175	1	7679	n	n	n	n	n	n	n	n
176	1	8142	n	n	n	n	n	n	n	n
177	1	8167	n	n	n	n	n	n	n	n
178	1	8175	n	n	n	n	n	n	n	n
179	1	8321	n	n	n	n	n	n	n	n
180	1	8349	n	n	n	n	n	n	n	n
181	1	8373	n	n	n	n	n	n	n	n
182	1	8410	n	n	n	n	n	n	n	n
183	1	8602	n	n	n	n	n	n	n	n
184	1	8622	n	n	n	n	n	n	n	n
185	1	8711	n	n	n	n	n	n	n	n
186	1	8880	n	n	n	n	n	n	n	n
187	1	9021	n	n	n	n	n	n	n	n
188	1	9118	n	n	n	n	n	n	n	n
189	1	9360	n	n	n	n	n	n	n	n
190	1	9373	n	n	n	n	n	n	n	n
191	1	9530	n	n	n	n	n	n	n	n
192	1	9648	n	n	n	n	n	n	n	n
193	1	9692	n	n	n	n	n	n	n	n
194	1	9754	n	n	n	n	n	n	n	n
195	1	9789	n	n	n	n	n	n	n	n
196	2	47	y	n	y	y	n	y	n	y
197	2	103	y	n	y	n	n	y	n	y
198	2	156	y	n	y	n	n	y	n	y
199	2	163	y	n	y	n	n	y	n	y
200	2	350	y	n	y	n	n	n	n	y
201	2	383	n	n	y	n	n	n	n	y
202	2	451	n	n	y	n	n	n	n	y
203	2	608	n	n	n	n	n	n	n	y
204	2	625	n	n	n	n	n	n	n	y
205	2	875	n	n	n	n	n	n	n	y
206	2	950	n	n	n	n	n	n	n	y
207	2	1016	n	n	n	n	n	n	n	n
208	2	1018	n	n	n	n	n	n	n	n
209	2	1066	n	n	n	n	n	n	n	n
210	2	1257	n	n	n	n	n	n	n	n
211	2	1339	n	n	n	n	n	n	n	n
212	2	1443	n	n	n	n	n	n	n	n
213	2	1446	n	n	n	n	n	n	n	n
214	2	1518	n	n	n	n	n	n	n	n
215	2	1540	n	n	n	n	n	n	n	n
216	2	1544	n	n	n	n	n	n	n	n
217	2	1547	n	n	n	n	n	n	n	n
218	2	1624	n	n	n	n	n	n	n	n
219	2	1642	n	n	n	n	n	n	n	n
220	2	1705	n	n	n	n	n	n	n	n
221	2	1805	n	n	n	n	n	n	n	n
222	2	1936	n	n	n	n	n	n	n	n
223	2	2026	n	n	n	n	n	n	n	n
224	2	2266	n	n	n	n	n	n	n	n
225	2	2435	n	n	n	n	n	n	n	n
226	2	2565	n	n	n	n	n	n	n	n
227	2	2925	n	n	n	n	n	n	n	n
228	2	3041	n	n	n	n	n	n	n	n
229	2	3080	n	n	n	n	n	n	n	n
230	2	3104	n	n	n	n	n	n	n	n
231	2	3129	n	n	n	n	n	n	n	n
232	2	3629	n	n	n	n	n	n	n	n
233	2	3833	n	n	n	n	n	n	n	n
234	2	3863	n	n	n	n	n	n	n	n
235	2	3953	n	n	n	n	n	n	n	n
236	2	4214	n	n	n	n	n	n	n	n
237	2	4419	n	n	n	n	n	n	n	n
238	2	4446	n	n	n	n	n	n	n	n
239	2	4570	n	n	n	n	n	n	n	n
240	2	4682	n	n	n	n	n	n	n	n
241	2	4943	n	n	n	n	n	n	n	n
242	2	5165	n	n	n	n	n	n	n	n
243	2	5251	n	n	n	n	n	n	n	n
244	2	5272	n	n	n	n	n	n	n	n
245	2	5295	n	n	n	n	n	n	n	n
246	2	5305	n	n	n	n	n	n	n	n
247	2	5559	n	n	n	n	n	n	n	n
248	2	5570	n	n	n	n	n	n	n	n
249	2	5574	n	n	n	n	n	n	n	n
250	2	5663	n	n	n	n	n	n	n	n
251	2	5939	n	n	n	n	n	n	n	n
252	2	5955	n	n	n	n	n	n	n	n
253	2	5994	n	n	n	n	n	n	n	n
254	2	6106	n	n	n	n	n	n	n	n
255	2	6236	n	n	n	n	n	n	n	n
256	2	6389	n	n	n	n	n	n	n	n
257	2	6562	n	n	n	n	n	n	n	n
258	2	6637	n	n	n	n	n	n	n	n
259	2	6660	n	n	n	n	n	n	n	n
260	2	6810	n	n	n	n	n	n	n	n
261	2	6872	n	n	n	n	n	n	n	n
262	2	7063	n	n	n	n	n	n	n	n
263	2	7136	n	n	n	n	n	n	n	n
264	2	7227	n	n	n	n	n	n	n	n
265	2	7385	n	n	n	n	n	n	n	n
266	2	7406	n	n	n	n	n	n	n	n
267	2	7504	n	n	n	n	n	n	n	n
268	2	7648	n	n	n	n	n	n	n	n
269	2	7733	n	n	n	n	n	n	n	n
270	2	7858	n	n	n	n	n	n	n	n
271	2	7920	n	n	n	n	n	n	n	n
272	2	8024	n	n	n	n	n	n	n	n
273	2	8135	n	n	n	n	n	n	n	n
274	2	8164	n	n	n	n	n	n	n	n
275	2	8203	n	n	n	n	n	n	n	n
276	2	8239	n	n	n	n	n	n	n	n
277	2	8306	n	n	n	n	n	n	n	n
278	2	8518	n	n	n	n	n	n	n	n
279	2	8637	n	n	n	n	n	n	n	n
280	2	8648	n	n	n	n	n	n	n	n
281	2	8673	n	n	n	n	n	n	n	n
282	2	8704	n	n	n	n	n	n	n	n
283	2	8711	n	n	n	n	n	n	n	n
284	2	8718	n	n	n	n	n	n	n	n
285	2	8951	n	n	n	n	n	n	n	n
286	2	8990	n	n	n	n	n	n	n	n
287	2	9016	n	n	n	n	n	n	n	n
288	2	9082	n	n	n	n	n	n	n	n
289	2	9157	n	n	n	n	n	n	n	n
290	2	9233	n	n	n	n	n	n	n	n
291	2	9371	n	n	n	n	n	n	n	n
292	2	9697	n	n	n	n	n	n	n	n
293	2	9828	n	n	n	n	n	n	n	n
294	2	9884	n	n	n	n	n	n	n	n
295	2	9998	n	n	n	n	n	n	n	n
296	3	203	y	n	n	y	y	n	n	y
297	3	213	y	n	n	n	y	n	n	y
298	3	241	y	n	n	n	y	n	n	y
299	3	301	y	n	n	n	y	n	n	n
300	3	375	y	n	n	n	y	n	n	n
301	3	414	n	n	n	n	n	n	n	n
302	3	444	n	n	n	n	n	n	n	n
303	3	514	n	n	n	n	n	n	n	n
304	3	677	n	n	n	n	n	n	n	n
305	3	749	n	n	n	n	n	n	n	n
306	3	789	n	n	n	n	n	n	n	n
307	3	875	n	n	n	n	n	n	n	n
308	3	914	n	n	n	n	n	n	n	n
309	3	1033	n	n	n	n	n	n	n	n
310	3	1071	n	n	n	n	n	n	n	n
311	3	1083	n	n	n	n	n	n	n	n
312	3	1151	n	n	n	n	n	n	n	n
313	3	1175	n	n	n	n	n	n	n	n
314	3	1246	n	n	n	n	n	n	n	n
315	3	1386	n	n	n	n	n	n	n	n
316	3	1549	n	n	n	n	n	n	n	n
317	3	1583	n	n	n	n	n	n	n	n
318	3	1921	n	n	n	n	n	n	n	n
319	3	2014	n	n	n	n	n	n	n	n
320	3	2044	n	n	n	n	n	n	n	n
321	3	2053	n	n	n	n	n	n	n	n
322	3	2075	n	n	n	n	n	n	n	n
323	3	2455	n	n	n	n	n	n	n	n
324	3	2529	n	n	n	n	n	n	n	n
325	3	2554	n	n	n	n	n	n	n	n
326	3	2605	n	n	n	n	n	n	n	n
327	3	2669	n	n	n	n	n	n	n	n
328	3	2853	n	n	n	n	n	n	n	n
329	3	2863	n	n	n	n	n	n	n	n
330	3	2932	n	n	n	n	n	n	n	n
331	3	2934	n	n	n	n	n	n	n	n
332	3	2958	n	n	n	n	n	n	n	n
333	3	3039	n	n	n	n	n	n	n	n
334	3	3140	n	n	n	n	n	n	n	n
335	3	3166	n	n	n	n	n	n	n	n
336	3	3197	n	n	n	n	n	n	n	n
337	3	3248	n	n	n	n	n	n	n	n
338	3	3250	n	n	n	n	n	n	n	n
339	3	3267	n	n	n	n	n	n	n	n
340	3	3349	n	n	n	n	n	n	n	n
341	3	3373	n	n	n	n	n	n	n	n
342	3	3472	n	n	n	n	n	n	n	n
343	3	3753	n	n	n	n	n	n	n	n
344	3	3830	n	n	n	n	n	n	n	n
345	3	3872	n	n	n	n	n	n	n	n
346	3	3895	n	n	n	n	n	n	n	n
347	3	3903	n	n	n	n	n	n	n	n
348	3	3942	n	n	n	n	n	n	n	n
349	3	4082	n	n	n	n	n	n	n	n
350	3	4106	n	n	n	n	n	n	n	n
351	3	4168	n	n	n	n	n	n	n	n
352	3	4184	n	n	n	n	n	n	n	n
353	3	4315	n	n	n	n	n	n	n	n
354	3	4354	n	n	n	n	n	n	n	n
355	3	4408	n	n	n	n	n	n	n	n
356	3	4437	n	n	n	n	n	n	n	n
357	3	4479	n	n	n	n	n	n	n	n
358	3	4726	n	n	n	n	n	n	n	n
359	3	4776	n	n	n	n	n	n	n	n
360	3	4855	n	n	n	n	n	n	n	n
361	3	4871	n	n	n	n	n	n	n	n
362	3	4902	n	n	n	n	n	n	n	n
363	3	5031	n	n	n	n	n	n	n	n
364	3	5051	n	n	n	n	n	n	n	n
365	3	5102	n	n	n	n	n	n	n	n
366	3	5221	n	n	n	n	n	n	n	n
367	3	5404	n	n	n	n	n	n	n	n
368	3	5533	n	n	n	n	n	n	n	n
369	3	5603	n	n	n	n	n	n	n	n
370	3	5767	n	n	n	n	n	n	n	n
371	3	5870	n	n	n	n	n	n	n	n
372	3	5891	n	n	n	n	n	n	n	n
373	3	6006	n	n	n	n	n	n	n	n
374	3	6141	n	n	n	n	n	n	n	n
375	3	6291	n	n	n	n	n	n	n	n
376	3	6408	n	n	n	n	n	n	n	n
377	3	6592	n	n	n	n	n	n	n	n
378	3	6643	n	n	n	n	n	n	n	n
379	3	6668	n	n	n	n	n	n	n	n
380	3	6777	n	n	n	n	n	n	n	n
381	3	6783	n	n	n	n	n	n	n	n
382	3	6848	n	n	n	n	n	n	n	n
383	3	7040	n	n	n	n	n	n	n	n
384	3	7096	n	n	n	n	n	n	n	n
385	3	7111	n	n	n	n	n	n	n	n
386	3	7170	n	n	n	n	n	n	n	n
387	3	7187	n	n	n	n	n	n	n	n
388	3	7216	n	n	n	n	n	n	n	n
389	3	7312	n	n	n	n	n	n	n	n
390	3	7376	n	n	n	n	n	n	n	n
391	3	7505	n	n	n	n	n	n	n	n
392	3	7646	n	n	n	n	n	n	n	n
393	3	7693	n	n	n	n	n	n	n	n
394	3	7714	n	n	n	n	n	n	n	n
395	3	7749	n	n	n	n	n	n	n	n
396	3	7826	n	n	n	n	n	n	n	n
397	3	7968	n	n	n	n	n	n	n	n
398	3	7981	n	n	n	n	n	n	n	n
399	3	8048	n	n	n	n	n	n	n	n
400	3	8155	n	n	n	n	n	n	n	n
401	3	8218	n	n	n	n	n	n	n	n
402	3	8254	n	n	n	n	n	n	n	n
403	3	8262	n	n	n	n	n	n	n	n
404	3	8286	n	n	n	n	n	n	n	n
405	3	8511	n	n	n	n	n	n	n	n
406	3	8631	n	n	n	n	n	n	n	n
407	3	8658	n	n	n	n	n	n	n	n
408	3	8711	n	n	n	n	n	n	n	n
409	3	8855	n	n	n	n	n	n	n	n
410	3	8858	n	n	n	n	n	n	n	n
411	3	8897	n	n	n	n	n	n	n	n
412	3	8929	n	n	n	n	n	n	n	n
413	3	8940	n	n	n	n	n	n	n	n
414	3	9044	n	n	n	n	n	n	n	n
415	3	9075	n	n	n	n	n	n	n	n
416	3	9095	n	n	n	n	n	n	n	n
417	3	9402	n	n	n	n	n	n	n	n
418	3	9450	n	n	n	n	n	n	n	n
419	3	9485	n	n	n	n	n	n	n	n
420	3	9489	n	n	n	n	n	n	n	n
421	3	9642	n	n	n	n	n	n	n	n
422	3	9855	n	n	n	n	n	n	n	n
423	3	9926	n	n	n	n	n	n	n	n
424	4	108	y	n	y	y	y	y	y	y
425	4	121	y	n	n	y	y	y	y	n
426	4	248	y	n	n	y	y	y	y	n
427	4	251	y	n	n	y	y	n	y	n
428	4	464	n	n	n	n	y	n	y	n
429	4	636	n	n	n	n	y	n	y	n
430	4	666	n	n	n	n	y	n	y	n
431	4	754	n	n	n	n	y	n	n	n
432	4	804	n	n	n	n	y	n	n	n
433	4	848	n	n	n	n	y	n	n	n
434	4	936	n	n	n	n	y	n	n	n
435	4	1103	n	n	n	n	n	n	n	n
436	4	1110	n	n	n	n	n	n	n	n
437	4	1144	n	n	n	n	n	n	n	n
438	4	1271	n	n	n	n	n	n	n	n
439	4	1275	n	n	n	n	n	n	n	n
440	4	1400	n	n	n	n	n	n	n	n
441	4	1404	n	n	n	n	n	n	n	n
442	4	1406	n	n	n	n	n	n	n	n
443	4	1429	n	n	n	n	n	n	n	n
444	4	1517	n	n	n	n	n	n	n	n
445	4	1590	n	n	n	n	n	n	n	n
446	4	1598	n	n	n	n	n	n	n	n
447	4	1813	n	n	n	n	n	n	n	n
448	4	1894	n	n	n	n	n	n	n	n
449	4	1896	n	n	n	n	n	n	n	n
450	4	1964	n	n	n	n	n	n	n	n
451	4	2457	n	n	n	n	n	n	n	n
452	4	2520	n	n	n	n	n	n	n	n
453	4	2607	n	n	n	n	n	n	n	n
454	4	2669	n	n	n	n	n	n	n	n
455	4	2914	n	n	n	n	n	n	n	n
456	4	2916	n	n	n	n	n	n	n	n
457	4	2932	n	n	n	n	n	n	n	n
458	4	3076	n	n	n	n	n	n	n	n
459	4	3347	n	n	n	n	n	n	n	n
460	4	3405	n	n	n	n	n	n	n	n
461	4	3528	n	n	n	n	n	n	n	n
462	4	3647	n	n	n	n	n	n	n	n
463	4	3701	n	n	n	n	n	n	n	n
464	4	3788	n	n	n	n	n	n	n	n
465	4	3983	n	n	n	n	n	n	n	n
466	4	4049	n	n	n	n	n	n	n	n
467	4	4296	n	n	n	n	n	n	n	n
468	4	4323	n	n	n	n	n	n	n	n
469	4	4408	n	n	n	n	n	n	n	n
470	4	4475	n	n	n	n	n	n	n	n
471	4	4498	n	n	n	n	n	n	n	n
472	4	4579	n	n	n	n	n	n	n	n
473	4	4580	n	n	n	n	n	n	n	n
474	4	4599	n	n	n	n	n	n	n	n
475	4	4630	n	n	n	n	n	n	n	n
476	4	4810	n	n	n	n	n	n	n	n
477	4	4811	n	n	n	n	n	n	n	n
478	4	4818	n	n	n	n	n	n	n	n
479	4	4878	n	n	n	n	n	n	n	n
480	4	5111	n	n	n	n	n	n	n	n
481	4	5435	n	n	n	n	n	n	n	n
482	4	5437	n	n	n	n	n	n	n	n
483	4	5512	n	n	n	n	n	n	n	n
484	4	5635	n	n	n	n	n	n	n	n
485	4	5838	n	n	n	n	n	n	n	n
486	4	5841	n	n	n	n	n	n	n	n
487	4	5911	n	n	n	n	n	n	n	n
488	4	5982	n	n	n	n	n	n	n	n
489	4	6151	n	n	n	n	n	n	n	n
490	4	6155	n	n	n	n	n	n	n	n
491	4	6165	n	n	n	n	n	n	n	n
492	4	6178	n	n	n	n	n	n	n	n
493	4	6187	n	n	n	n	n	n	n	n
494	4	6435	n	n	n	n	n	n	n	n
495	4	6883	n	n	n	n	n	n	n	n
496	4	6884	n	n	n	n	n	n	n	n
497	4	6902	n	n	n	n	n	n	n	n
498	4	6972	n	n	n	n	n	n	n	n
499	4	7022	n	n	n	n	n	n	n	n
500	4	7050	n	n	n	n	n	n	n	n
501	4	7396	n	n	n	n	n	n	n	n
502	4	7461	n	n	n	n	n	n	n	n
503	4	7475	n	n	n	n	n	n	n	n
504	4	7545	n	n	n	n	n	n	n	n
505	4	7770	n	n	n	n	n	n	n	n
506	4	7906	n	n	n	n	n	n	n	n
507	4	7963	n	n	n	n	n	n	n	n
508	4	7978	n	n	n	n	n	n	n	n
509	4	8011	n	n	n	n	n	n	n	n
510	4	8013	n	n	n	n	n	n	n	n
511	4	8259	n	n	n	n	n	n	n	n
512	4	8338	n	n	n	n	n	n	n	n
513	4	8430	n	n	n	n	n	n	n	n
514	4	8592	n	n	n	n	n	n	n	n
515	4	9343	n	n	n	n	n	n	n	n
516	4	9361	n	n	n	n	n	n	n	n
517	4	9493	n	n	n	n	n	n	n	n
518	4	9528	n	n	n	n	n	n	n	n
519	4	9541	n	n	n	n	n	n	n	n
520	4	9589	n	n	n	n	n	n	n	n
521	4	9659	n	n	n	n	n	n	n	n
522	4	9660	n	n	n	n	n	n	n	n
523	4	9829	n	n	n	n	n	n	n	n
524	4	9860	n	n	n	n	n	n	n	n
525	4	9861	n	n	n	n	n	n	n	n
526	5	34	y	y	y	n	y	n	y	y
527	5	119	y	y	y	n	y	n	y	y
528	5	121	n	y	n	n	y	n	y	y
529	5	358	n	y	n	n	y	n	y	n
530	5	369	n	n	n	n	y	n	y	n
531	5	431	n	n	n	n	n	n	y	n
532	5	433	n	n	n	n	n	n	n	n
533	5	531	n	n	n	n	n	n	n	n
534	5	568	n	n	n	n	n	n	n	n
535	5	632	n	n	n	n	n	n	n	n
536	5	823	n	n	n	n	n	n	n	n
537	5	969	n	n	n	n	n	n	n	n
538	5	1138	n	n	n	n	n	n	n	n
539	5	1158	n	n	n	n	n	n	n	n
540	5	1210	n	n	n	n	n	n	n	n
541	5	1227	n	n	n	n	n	n	n	n
542	5	1324	n	n	n	n	n	n	n	n
543	5	1367	n	n	n	n	n	n	n	n
544	5	1613	n	n	n	n	n	n	n	n
545	5	1655	n	n	n	n	n	n	n	n
546	5	1676	n	n	n	n	n	n	n	n
547	5	1764	n	n	n	n	n	n	n	n
548	5	1779	n	n	n	n	n	n	n	n
549	5	1809	n	n	n	n	n	n	n	n
550	5	2048	n	n	n	n	n	n	n	n
551	5	2091	n	n	n	n	n	n	n	n
552	5	2152	n	n	n	n	n	n	n	n
553	5	2302	n	n	n	n	n	n	n	n
554	5	2488	n	n	n	n	n	n	n	n
555	5	2610	n	n	n	n	n	n	n	n
556	5	2713	n	n	n	n	n	n	n	n
557	5	2813	n	n	n	n	n	n	n	n
558	5	2854	n	n	n	n	n	n	n	n
559	5	2926	n	n	n	n	n	n	n	n
560	5	3033	n	n	n	n	n	n	n	n
561	5	3036	n	n	n	n	n	n	n	n
562	5	3052	n	n	n	n	n	n	n	n
563	5	3158	n	n	n	n	n	n	n	n
564	5	3178	n	n	n	n	n	n	n	n
565	5	3374	n	n	n	n	n	n	n	n
566	5	3459	n	n	n	n	n	n	n	n
567	5	3611	n	n	n	n	n	n	n	n
568	5	3638	n	n	n	n	n	n	n	n
569	5	3784	n	n	n	n	n	n	n	n
570	5	3835	n	n	n	n	n	n	n	n
571	5	3849	n	n	n	n	n	n	n	n
572	5	3879	n	n	n	n	n	n	n	n
573	5	3950	n	n	n	n	n	n	n	n
574	5	3971	n	n	n	n	n	n	n	n
575	5	3993	n	n	n	n	n	n	n	n
576	5	4168	n	n	n	n	n	n	n	n
577	5	4217	n	n	n	n	n	n	n	n
578	5	4222	n	n	n	n	n	n	n	n
579	5	4475	n	n	n	n	n	n	n	n
580	5	4626	n	n	n	n	n	n	n	n
581	5	4638	n	n	n	n	n	n	n	n
582	5	4647	n	n	n	n	n	n	n	n
583	5	4803	n	n	n	n	n	n	n	n
584	5	5154	n	n	n	n	n	n	n	n
585	5	5432	n	n	n	n	n	n	n	n
586	5	5447	n	n	n	n	n	n	n	n
587	5	5450	n	n	n	n	n	n	n	n
588	5	5541	n	n	n	n	n	n	n	n
589	5	5683	n	n	n	n	n	n	n	n
590	5	5813	n	n	n	n	n	n	n	n
591	5	5863	n	n	n	n	n	n	n	n
592	5	5939	n	n	n	n	n	n	n	n
593	5	5954	n	n	n	n	n	n	n	n
594	5	6189	n	n	n	n	n	n	n	n
595	5	6190	n	n	n	n	n	n	n	n
596	5	6288	n	n	n	n	n	n	n	n
597	5	6290	n	n	n	n	n	n	n	n
598	5	6368	n	n	n	n	n	n	n	n
599	5	6482	n	n	n	n	n	n	n	n
600	5	6549	n	n	n	n	n	n	n	n
601	5	6554	n	n	n	n	n	n	n	n
602	5	6592	n	n	n	n	n	n	n	n
603	5	6969	n	n	n	n	n	n	n	n
604	5	7345	n	n	n	n	n	n	n	n
